year,month,meantemp,maxtemp,mintemp
2019,11,28.138709677419353,27.700000000000003,22.700000000000003
2019,12,28.013333333333332,28.000000000000004,22.499999999999996
2020,1,27.01290322580645,27.34498253779952,21.4
2020,2,27.73225806451613,27.197005636893746,22.799999999999997
2020,3,27.848275862068967,27.100000000000005,22.799999999999997
2020,4,28.529032258064518,27.74994510046557,22.000000000000004
2020,5,28.773333333333333,28.400000000000002,22.400000000000002
2020,6,28.825806451612902,29.300000000000008,22.799999999999997
2020,7,28.196666666666665,29.300000000000008,22.499999999999996
2020,8,28.05483870967742,28.700000000000003,21.4
2020,9,28.316129032258065,28.900000000000002,21.6
2020,10,27.60333333333333,28.100000000000005,21.4
2020,11,28.193548387096776,28.300000000000004,22.200000000000003
2020,12,27.42,28.000000000000004,22.143559186613
2021,1,26.954838709677418,27.50466751154213,21.713806841128374
2021,2,26.04193548387097,27.348409574603892,21.4
2021,3,27.271428571428572,27.296309887347377,22.600000000000005
2021,4,27.748387096774195,27.26014151607452,21.900000000000002
2021,5,28.223333333333333,28.900000000000002,21.900000000000002
2021,6,28.703225806451613,29.100000000000005,22.5287979784597
2021,7,28.704121863799283,29.200000000000003,22.1
2021,8,28.677419354838708,28.900000000000002,22.499999999999996
2021,9,27.758064516129032,28.700000000000003,21.800000000000004
2021,10,28.113333333333333,28.600000000000005,22.200000000000003
2021,11,28.574193548387097,29.000000000000004,21.98259326481276
2021,12,27.59,28.200000000000003,22.1
2022,1,27.5,27.700000000000003,22.016206923327573
2022,2,27.449333333333332,27.651261917207584,22.327908190441562
2022,3,27.27857142857143,27.400000000000002,20.399999999999995
2022,4,28.09032258064516,28.100000000000005,21.800000000000004
2022,5,28.1,27.800000000000008,22.200000000000003
