station,year,meantemp,maxtemp,mintemp
Clementi,2017,28.016695992179862,27.700000000000003,22.1
Clementi,2018,28.037327188940093,28.200000000000003,21.099999999999998
Clementi,2019,28.22833333333333,27.800000000000008,21.500000000000004
Clementi,2020,27.830430107526883,28.000000000000004,21.500000000000004
Clementi,2021,27.53333333333333,28.000000000000004,21.4
Clementi,2022,27.545,27.800000000000008,21.4
Clementi,2023,28.077903225806452,28.500000000000004,21.299999999999997
East Coast Parkway,2014,27.97471198156682,29.200000000000003,21.099999999999998
East Coast Parkway,2015,28.421827956989247,29.000000000000004,22.1
East Coast Parkway,2016,28.682419354838707,29.300000000000008,22.400000000000002
East Coast Parkway,2017,28.27940860215054,29.300000000000008,22.600000000000005
East Coast Parkway,2018,28.17693548387097,29.400000000000002,22.1
East Coast Parkway,2019,28.38700716845878,28.62249660894711,23.2
East Coast Parkway,2020,28.17741935483871,29.300000000000008,22.000000000000004
East Coast Parkway,2021,28.205,29.100000000000005,21.6
East Coast Parkway,2022,28.386290322580646,29.500000000000004,22.799999999999997
East Coast Parkway,2023,28.985,29.700000000000003,22.38607694520702
Jurong (West),2014,27.20967741935484,27.000000000000004,20.8
Jurong (West),2015,27.96451612903226,28.000000000000004,21.588494233094064
Jurong (West),2016,27.870752688172043,28.400000000000002,21.700000000000003
Jurong (West),2017,27.040209567698046,27.500000000000004,22.199441086976947
Jurong (West),2018,27.31661866359447,28.500000000000004,20.900000000000002
Jurong (West),2019,27.991666666666667,28.100000000000005,21.6
Jurong (West),2020,27.570967741935483,28.200000000000003,21.4
Jurong (West),2021,27.321129032258064,28.400000000000002,21.6
Jurong (West),2022,27.345,28.100000000000005,20.399999999999995
Jurong (West),2023,28.09,28.700000000000003,21.6
Jurong Island,2014,28.81241935483871,28.700000000000003,21.4
Jurong Island,2015,28.581612903225807,28.800000000000008,22.48822148631629
Jurong Island,2016,28.19532258064516,29.000000000000004,22.499999999999996
Jurong Island,2017,28.34263440860215,28.600000000000005,22.1
Jurong Island,2018,28.17677419354839,28.800000000000008,22.000000000000004
Jurong Island,2019,28.722261904761904,28.800000000000008,22.1
Jurong Island,2020,28.387096774193548,28.900000000000002,21.900000000000002
Jurong Island,2021,28.178287250384024,28.800000000000008,22.400000000000002
Jurong Island,2022,27.975,28.600000000000005,22.200000000000003
Jurong Island,2023,28.571827956989246,28.600000000000005,21.700000000000003
Newton,2014,27.79806451612903,28.400000000000002,22.000000000000004
Newton,2015,28.04456989247312,28.100000000000005,21.800000000000004
Newton,2016,27.880645161290325,28.200000000000003,22.200000000000003
Newton,2017,27.31527777777778,27.700000000000003,22.400000000000002
Newton,2018,27.53510752688172,28.100000000000005,21.299999999999997
Newton,2019,28.085,28.000000000000004,21.900000000000002
Newton,2020,27.679166666666667,27.600000000000005,22.499999999999996
Newton,2021,27.550833333333333,28.300000000000004,21.900000000000002
Newton,2022,27.502000000000002,28.100000000000005,21.898166867121322
Newton,2023,28.049999999999997,28.500000000000004,21.099999999999998
Pasir Panjang,2014,28.34491935483871,29.400000000000002,22.200000000000003
Pasir Panjang,2015,28.706612903225807,29.100000000000005,22.499999999999996
Pasir Panjang,2016,28.864139784946236,29.400000000000002,21.800000000000004
Pasir Panjang,2017,28.373333333333335,29.200000000000003,22.600000000000005
Pasir Panjang,2018,28.26059139784946,29.400000000000002,22.000000000000004
Pasir Panjang,2019,28.80139784946237,29.100000000000005,21.099999999999998
Pasir Panjang,2020,28.27741935483871,29.300000000000008,22.600000000000005
Pasir Panjang,2021,27.894032258064517,29.200000000000003,21.800000000000004
Pasir Panjang,2022,28.191666666666666,29.100000000000005,22.400000000000002
Pasir Panjang,2023,28.833924731182798,29.300000000000008,21.500000000000004
Sentosa Island,2014,28.08220430107527,28.400000000000002,21.500000000000004
Sentosa Island,2015,28.341182795698924,28.100000000000005,22.300000000000004
Sentosa Island,2016,28.49268817204301,28.600000000000005,22.000000000000004
Sentosa Island,2017,28.13763440860215,28.167631043160654,23.06039162653989
Sentosa Island,2018,28.228763440860213,28.300000000000004,22.1
Sentosa Island,2019,28.705,28.800000000000008,21.900000000000002
Sentosa Island,2020,28.433954393770854,28.200000000000003,22.200000000000003
Sentosa Island,2021,28.45591397849462,29.000000000000004,22.9
Sentosa Island,2022,28.11268817204301,28.700000000000003,22.300000000000004
Sentosa Island,2023,28.49440860215054,28.600000000000005,22.1
Tai Seng,2014,28.51279569892473,29.400000000000002,21.900000000000002
Tai Seng,2015,28.83811827956989,29.000000000000004,22.000000000000004
Tai Seng,2016,28.98225806451613,29.300000000000008,22.300000000000004
Tai Seng,2017,28.54236559139785,29.075471130573842,21.700000000000003
Tai Seng,2018,28.450698924731185,29.200000000000003,21.700000000000003
Tai Seng,2019,28.91731182795699,28.800000000000008,22.200000000000003
Tai Seng,2020,28.60333333333333,29.000000000000004,22.000000000000004
Tai Seng,2021,28.435752688172045,29.000000000000004,21.900000000000002
Tai Seng,2022,28.251129032258063,28.600000000000005,22.300000000000004
Tai Seng,2023,28.781720430107526,29.100000000000005,21.700000000000003
Tuas South,2014,28.212204301075268,28.800000000000008,21.700000000000003
Tuas South,2015,28.2875,28.800000000000008,22.600000000000005
Tuas South,2016,28.87043010752688,28.900000000000002,23.000000000000004
Tuas South,2017,28.128666666666668,28.200000000000003,23.000000000000004
Tuas South,2018,28.245430107526882,28.500000000000004,22.600000000000005
Tuas South,2019,29.016720430107526,28.400000000000002,23.100000000000005
Tuas South,2020,28.332925472747498,28.600000000000005,22.200000000000003
Tuas South,2021,28.041182795698923,28.844390808385736,22.1
Tuas South,2022,28.03333333333333,28.900000000000002,22.1
Tuas South,2023,28.56709677419355,29.000000000000004,21.700000000000003
